Id,Position,FirstName,Nickname,LastName,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
17288-24569,K,Chandler,,Catanzaro,6.615384615,13,4800,NO@ARI,ARI,NO,,
17288-29725,TE,Levine,,Toilolo,3.759999847,10,4700,SF@ATL,ATL,SF,,
17288-62616,RB,Zach,,Zenner,4.550000191,8,4700,DET@NYG,DET,NYG,Q,Concussion
17288-12531,D,Denver,,Broncos,10.53846154,13,4700,NE@DEN,DEN,NE,,
17288-12541,D,New England,,Patriots,6.923076923,13,4700,NE@DEN,NE,DEN,,
17288-12555,D,Baltimore,,Ravens,9.615384615,13,4700,PHI@BAL,BAL,PHI,,
17288-52560,WR,Geronimo,,Allison,2.825000048,4,4700,GB@CHI,GB,CHI,,
17288-21952,WR,Michael,,Floyd,7.09166654,12,4700,NE@DEN,NE,DEN,,
17288-6768,WR,Eddie,,Royal,7.933333503,9,4700,GB@CHI,CHI,GB,O,Toe
17288-26247,K,Brandon,,McManus,9,13,4700,NE@DEN,DEN,NE,,
17288-6810,K,Dan,,Carpenter,6.384615385,13,4700,CLE@BUF,BUF,CLE,,
17288-15006,RB,Shaun,,Draughn,5.318181818,11,4700,SF@ATL,SF,ATL,,
17288-29357,RB,Kenjon,,Barner,2.75,10,4700,PHI@BAL,PHI,BAL,,
17288-6897,K,Mason,,Crosby,7.769230769,13,4700,GB@CHI,GB,CHI,,
17288-12090,K,Nick,,Novak,9.583333333,12,4700,JAC@HOU,HOU,JAC,,
17288-22336,WR,Joshua,,Bellamy,3.65,10,4700,GB@CHI,CHI,GB,,
17288-31836,WR,Terrance,,Williams,6.666666667,12,4600,TB@DAL,DAL,TB,,
17288-24671,WR,Adam,,Humphries,6.458333333,12,4600,TB@DAL,TB,DAL,,
17288-40126,TE,Austin,,Hooper,4.720000076,10,4600,SF@ATL,ATL,SF,,
17288-12537,D,Oakland,,Raiders,6.076923077,13,4600,OAK@SD,OAK,SD,,
17288-12543,D,New York,,Giants,8.307692308,13,4600,DET@NYG,NYG,DET,,
17288-12547,D,Pittsburgh,,Steelers,6.692307692,13,4600,PIT@CIN,PIT,CIN,,
17288-6427,K,Connor,,Barth,5.692307692,13,4600,GB@CHI,CHI,GB,,
17288-32045,TE,Vance,,McDonald,7.509999847,10,4600,SF@ATL,SF,ATL,IR,Shoulder
17288-32058,K,Chris,,Boswell,6.416666667,12,4600,PIT@CIN,PIT,CIN,,
17288-60745,K,Jason,,Myers,7.307692308,13,4600,JAC@HOU,JAC,HOU,,
17288-11712,RB,Joique,,Bell,0.449999988,2,4600,DET@NYG,DET,NYG,,
17288-54741,WR,Seth,,Roberts,6.530769348,13,4600,OAK@SD,OAK,SD,,
17288-26094,WR,Brandon,,Coleman,5.254545385,11,4600,NO@ARI,NO,ARI,,
17288-22003,RB,Ronnie,,Hillman,2.260000038,5,4600,OAK@SD,SD,OAK,,
17288-29314,TE,Richard,,Rodgers,3.475000064,12,4600,GB@CHI,GB,CHI,,
17288-31380,WR,Paul,,Turner,6.550000191,2,4600,PHI@BAL,PHI,BAL,,
17288-32429,K,Josh,,Lambo,8.230769231,13,4600,OAK@SD,SD,OAK,,
17288-27411,RB,Aaron,,Ripkowski,3.055555556,9,4600,GB@CHI,GB,CHI,Q,Back
17288-28525,WR,Braxton,,Miller,2.339999962,10,4600,JAC@HOU,HOU,JAC,IR,Shoulder
17288-40857,RB,Peyton,,Barber,3.962500095,8,4600,TB@DAL,TB,DAL,,
17288-14245,RB,Shane,,Vereen,7.425000191,4,4600,DET@NYG,NYG,DET,Q,Concussion
17288-29683,WR,Nelson,,Agholor,4.691666603,12,4600,PHI@BAL,PHI,BAL,,
17288-31748,WR,Levi,,Norwood,0,0,4500,PIT@CIN,PIT,CIN,,
17288-57348,RB,Glenn,,Winston,-2.799999952,1,4500,CLE@BUF,CLE,BUF,IR,Shoulder
17288-46088,RB,Jhurell,,Pressley,0,0,4500,SF@ATL,ATL,SF,,
17288-14348,TE,Lee,,Smith,1.966666698,3,4500,OAK@SD,OAK,SD,IR,Ankle
17288-24589,WR,Jaron,,Brown,5.03333346,6,4500,NO@ARI,ARI,NO,IR,Knee
17288-14358,WR,Dwayne,,Harris,0.446153861,13,4500,DET@NYG,NYG,DET,,
17288-28694,TE,Jesse,,James,4.753846095,13,4500,PIT@CIN,PIT,CIN,,
17288-27672,TE,Matt,,LaCosse,3.700000048,1,4500,DET@NYG,NYG,DET,IR,Knee
17288-14362,TE,Charles,,Clay,5.25,12,4500,CLE@BUF,BUF,CLE,Q,Knee
17288-29723,RB,Stepfan,,Taylor,0.600000024,2,4500,NO@ARI,ARI,NO,,
17288-14369,RB,Jordan,,Todman,1,10,4500,IND@MIN,IND,MIN,,
17288-26657,RB,Christian,,Powell,0,0,4500,PIT@CIN,PIT,CIN,,
17288-14372,WR,Aldrick,,Robinson,3.459999847,10,4500,SF@ATL,ATL,SF,,
17288-32807,TE,Anthony,,Denham,0,0,4500,PHI@BAL,PHI,BAL,,
17288-62505,TE,MyCole,,Pruitt,1.200000048,1,4500,GB@CHI,CHI,GB,,
17288-21547,RB,Will,,Johnson,2.260000038,5,4500,DET@NYG,NYG,DET,IR,Shoulder
17288-27692,RB,Josh,,Ferguson,2.318181818,11,4500,IND@MIN,IND,MIN,,
17288-62508,TE,James,,O'Shaughnessy,0.449999988,2,4500,TEN@KC,KC,TEN,,
17288-62515,TE,Neal,,Sterling,3.775000095,4,4500,JAC@HOU,JAC,HOU,,
17288-14394,TE,Virgil,,Green,3.762500048,8,4500,NE@DEN,DEN,NE,,
17288-28735,WR,Daniel,,Anthrop,0,0,4500,IND@MIN,IND,MIN,,
17288-14406,RB,Bruce,,Miller,2.589999962,10,4500,SF@ATL,SF,ATL,,
